# export of sheet1 of suppl. tables file / chrY project / Nature pub
Sample ID	Population	Super population	Coriell Family ID	Child of trio	Father ID/comment on Illumina data	Y haplogroup (ISOGG v15.73)	Y terminal marker	Cohort	HGSVC_year	High-coverage sample (HiFi coverage of at least 50⨉)	Bionano molecule N50 (kbp)	Bionano effective coverage of assembly (X)	Bionano	Project Accesion ID	PacBio HiFi	Project Accesion ID	ONT-UL	Project Accesion ID	Hi-C	Project Accesion ID	Strand-Seq	Project Accesion ID	RNA-Seq	Project Accesion ID	Iso-Seq	Project Accesion ID
HG00621	CHS	EAS	SH066	yes	HG00619	O2a2b1a1a1	F8	HPRC	year1	no	296.084	34.874	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00621/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00621/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00621/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00621/	PRJNA701308	NA	NA	NA	NA	NA	NA
HG00512	CHS	EAS	SH032			O2a2b1a2a1a	F46	HGSVC	year1	no	330.844	196.938	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20191031_CHS_PacBio_HG00512_HiFi/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB39684 	PRJEB12849, Chaisson et al. 2019	PRJEB12849, Chaisson et al. 2019	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
HG01928	PEL	AMR	PEL011	yes	HG01926	Q1b1a1a	M3	HPRC	year1	no	329.201	79.744	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01928/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01928/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01928/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01928/	PRJNA701308	NA	NA	NA	NA	NA	NA
HG01952	PEL	AMR	PEL019	yes	HG01950	Q1b1a1a	M3	HPRC	year1	no	325.117	130.498	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01952/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01952/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01952/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01952/	PRJNA701308	NA	NA	NA	NA	NA	NA
HG03492	PJL	SAS	PK43	yes	HG03490	R1a1a1b2a1a2c	Y7	HPRC	year1	no	273.396	116.735	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG03492/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG03492/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG03492/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG03492/	PRJNA701308	NA	NA	NA	NA	NA	NA
HG00731	PUR	AMR	PR05			R1b1a1b1a1a2a5	Z225	HGSVC	year1	no	348.612	183.418	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20190925_PUR_PacBio_HiFi/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB39684 	PRJEB12849, Chaisson et al. 2019	PRJEB12849, Chaisson et al. 2019	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
HG01243	PUR	AMR	PR22	yes	HG01241	R1b1a1b1a1a2a5	DF27	HPRC	year1	no	233.509	124.001	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG01243/raw_data/hic/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG01243/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG01243/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG01243/raw_data/hic/	PRJNA701308	NA	NA	NA	NA	NA	NA
NA19650	MXL	AMR	m001	yes	NA19649	R1b1a1b1a1a2b1a1	L20	HGSVC	year1	no	374.19	212.158	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/NA19650/	PRJEB58376	rebasecalled - https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/NA19650/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200512_Hi-C/	PRJEB39684 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200120_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
NA20509	TSI	EUR	NA20509			R1b1a1b1a1a2b1a1	Z145	HGSVC	year1	no	288.373	208.373	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/NA20509/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200512_Hi-C/	PRJEB39684 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200120_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
HG01358	CLM	AMR	CLM31	yes	HG01356	R1b1a1b1a1a2b1a1	L20	HPRC	year1	no	341.645	111.515	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01358/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01358/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01358/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01358/	PRJNA701308	PRJEB54100, Porubsky, Vollger et al. 2022	PRJEB54100, Porubsky, Vollger et al. 2022	NA	NA	NA	NA
HG00096	GBR	EUR	HG00096			R1b1a1b1a1a2c1a1f1a2	S691	HGSVC	year1	no	322.979	203.118	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG00096/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200512_Hi-C/	PRJEB39684 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200120_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
HG01505	IBS	EUR	IBS002	yes	HG01503	R1b1a1b1a1a2c1a4b2d1	DF73	HGSVC	year1	no	318.642	205.045	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG01505/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200512_Hi-C/	PRJEB39684 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200120_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
HG03732	ITU	SAS	IT003	yes	HG03727	R2	L266	HGSVC	year1	no	343.517	155.364	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG03732/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200512_Hi-C/	PRJEB39684 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200120_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
