# 20240814T2003
sample	sex	population	supergroup	verkko_assembly_accession	datatype	filename	file_accession	project_accession	total_num_grt_0bp	total_length_grt_0bp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_num_grt_100kbp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_num_grt_1Mbp	matched_name	match_quality	reuse_data
HG00732	female	PUR	AMR	ERZ24811356	hifi	HG00732_20190925_EEE_m54329U_190612_193411.Q20	ERR13110532	PRJEB75739	691584	7007704227	2.3	10150	10161	0	0.0	0	0	0	m54329U_190612_193411.Q20	fuzzy-match	yes
HG00732	female	PUR	AMR	ERZ24811356	hifi	HG00732_20190925_EEE_m54329U_190705_000551.Q20	ERR13110533	PRJEB75739	938937	11431803870	3.8	12197	12228	0	0.0	0	0	0	m54329U_190705_000551.Q20	fuzzy-match	yes
HG00732	female	PUR	AMR	ERZ24811356	hifi	HG00732_20200722_EEE_m54329U_200528_200534.ccs	ERR13110534	PRJEB75739	1195369	27398751242	9.1	22875	23535	0	0.0	0	0	0	m54329U_200528_200534.Q20	fuzzy-match	yes
HG00732	female	PUR	AMR	ERZ24811356	hifi	HG00732_20200722_EEE_m64076_200601_234627.ccs	ERR13110535	PRJEB75739	1175891	26672257665	8.9	22646	23270	0	0.0	0	0	0	m64076_200601_234627.Q20	fuzzy-match	yes
HG00732	female	PUR	AMR	ERZ24811356	hifi	HG00732_20200722_EEE_m64076_200603_055852.ccs	ERR13110536	PRJEB75739	955105	22123656631	7.4	23124	23790	0	0.0	0	0	0	m64076_200603_055852.Q20	fuzzy-match	yes
HG00732	female	PUR	AMR	ERZ24811356	hifi	all	(summary)	(summary)	16571470	282156294887	94.1	19650	19351	0	0.0	0	0	0	all	(summary)	(summary)
HG00732	female	PUR	AMR	ERZ24811356	hifi	m84046_231113_224421_s1.hifi_reads.bc2033	ERR13491762	PRJEB77558	2632943	51345093839	17.1	19733	20698	0	0.0	0	0	0	exact-match	exact-match	yes
HG00732	female	PUR	AMR	ERZ24811356	hifi	m84046_231117_203108_s3.hifi_reads.bc2033	ERR13491763	PRJEB77558	4655294	92338549552	30.8	20107	21105	0	0.0	0	0	0	exact-match	exact-match	yes
HG00732	female	PUR	AMR	ERZ24811356	ont	20221213_HG00732_UL_eee-prom1-2B-PAG65793_guppy-5.0.11-sup-prom_fastq_pass	ERR13491764	PRJEB77558	306877	26385256578	8.8	150033	174994	99694	6.2	195438	223442	8	exact-match	exact-match	yes
HG00732	female	PUR	AMR	ERZ24811356	ont	20221214_HG00732_UL_eee-prom1-2B-PAG65793_guppy-5.0.11-sup-prom_fastq_pass	ERR13491765	PRJEB77558	381174	24845783477	8.3	120756	142387	86618	4.9	175206	199653	4	exact-match	exact-match	yes
HG00732	female	PUR	AMR	ERZ24811356	ont	20221214_HG00732_UL_eee-prom1-2E-PAG68402_guppy-5.0.11-sup-prom_fastq_pass	ERR13491766	PRJEB77558	393356	26110802079	8.7	134103	157893	93349	5.6	186852	213771	1	exact-match	exact-match	yes
HG00732	female	PUR	AMR	ERZ24811356	ont	20221220_HG00732_UL_eee-prom1-2C-PAG67955_guppy-5.0.11-sup-prom_fastq_pass	ERR13491767	PRJEB77558	534427	45371676624	15.1	143492	161030	177787	10.5	184369	205008	4	exact-match	exact-match	yes
HG00732	female	PUR	AMR	ERZ24811356	ont	20221228_HG00732_UL_eee-prom1-2A-PAG65779_guppy-5.0.11-sup-prom_fastq_pass	ERR13491768	PRJEB77558	260936	13750079878	4.6	124801	145753	45473	2.7	188959	210139	0	exact-match	exact-match	yes
HG00732	female	PUR	AMR	ERZ24811356	ont	all	(summary)	(summary)	1876770	136463598636	45.5	136882	158196	502921	29.9	185709	210036	17	all	(summary)	(summary)
HG00732	female	PUR	AMR	ERZ24811356	strandseq	all	(summary)	PRJEB12849	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG00733	female	PUR	AMR	ERZ24811353	hifi	HG00733_20190925_EEE_m54329U_190607_185248.Q20	ERR13110537	PRJEB75739	1165188	12442674191	4.1	10697	10719	0	0.0	0	0	0	m54329U_190607_185248.Q20	fuzzy-match	yes
HG00733	female	PUR	AMR	ERZ24811353	hifi	HG00733_20190925_EEE_m54329U_190615_010947.Q20	ERR13110538	PRJEB75739	897059	11762148999	3.9	13129	13191	0	0.0	0	0	0	m54329U_190615_010947.Q20	fuzzy-match	yes
HG00733	female	PUR	AMR	ERZ24811353	hifi	HG00733_20190925_EEE_m54329U_190617_231905.Q20	ERR13110539	PRJEB75739	853596	11221698288	3.7	13166	13225	0	0.0	0	0	0	m54329U_190617_231905.Q20	fuzzy-match	yes
HG00733	female	PUR	AMR	ERZ24811353	hifi	HG00733_20190925_EEE_m54329U_190619_052546.Q20	ERR13110540	PRJEB75739	684358	8977930886	3.0	13136	13197	0	0.0	0	0	0	m54329U_190619_052546.Q20	fuzzy-match	yes
HG00733	female	PUR	AMR	ERZ24811353	hifi	HG00733_20190925_EEE_m54329U_190629_180018.Q20	ERR13110541	PRJEB75739	1167599	15348796405	5.1	13168	13227	0	0.0	0	0	0	m54329U_190629_180018.Q20	fuzzy-match	yes
HG00733	female	PUR	AMR	ERZ24811353	hifi	HG00733_20190925_EEE_m54329U_190701_222759.Q20	ERR13110542	PRJEB75739	1263676	16588746431	5.5	13145	13206	0	0.0	0	0	0	m54329U_190701_222759.Q20	fuzzy-match	yes
HG00733	female	PUR	AMR	ERZ24811353	hifi	HG00733_20190925_EEE_m54329U_190827_173812.Q20	ERR13110543	PRJEB75739	1627773	27460032904	9.2	16861	17063	0	0.0	0	0	0	m54329U_190827_173812.Q20	fuzzy-match	yes
HG00733	female	PUR	AMR	ERZ24811353	hifi	all	(summary)	(summary)	17830925	308566467119	102.9	17725	18864	0	0.0	0	0	0	all	(summary)	(summary)
HG00733	female	PUR	AMR	ERZ24811353	hifi	m64076_211214_012715.hifi_reads	ERR13110544	PRJEB75739	1943753	39252655500	13.1	20627	21437	0	0.0	0	0	0	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	hifi	m64076_211215_225159.hifi_reads	ERR13110545	PRJEB75739	1998994	39999489758	13.3	20403	21229	0	0.0	0	0	0	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	hifi	m64076_211217_081943.hifi_reads	ERR13110546	PRJEB75739	2129673	42997158393	14.3	20613	21428	0	0.0	0	0	0	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	hifi	m64076_211218_173901.hifi_reads	ERR13110547	PRJEB75739	2055044	41456239442	13.8	20599	21411	0	0.0	0	0	0	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	hifi	m64076_211221_015212.hifi_reads	ERR13110548	PRJEB75739	2044212	41058895922	13.7	20489	21316	0	0.0	0	0	0	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	ont	20220223_220216_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass	ERR12954386	PRJEB75216	1274569	78827809245	26.3	138292	165099	271779	16.9	196095	226030	2	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	ont	20220228_220223_21-lee-006_PC24B149_1F_guppy-5.0.11-sup-prom_fastq_pass	ERR12954378	PRJEB75216	268587	15053942567	5.0	136922	164467	51622	3.2	196228	226412	0	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	ont	20220304_220224_21-lee-006_PC24B149_3D_guppy-5.0.11-sup-prom_fastq_pass	ERR12954370	PRJEB75216	948933	59105032133	19.7	139840	169971	199878	12.7	201196	233838	7	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	ont	HG00733_20210727_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass	ERR13491769	PRJEB77558	724162	22773100416	7.6	143660	179561	76244	4.9	204234	250097	85	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	ont	HG00733_20210728_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass	ERR13491770	PRJEB77558	495668	14836153025	4.9	138458	170570	48847	3.1	202234	241887	32	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	ont	HG00733_20210729_UL_eee-prom1-1E-PAH36624-2_guppy-5.0.11-sup-prom_fastq_pass	ERR13491771	PRJEB77558	1508	36623682	0.0	119102	135633	112	0.0	188518	203440	0	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	ont	HG00733_20210729_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass	ERR13491772	PRJEB77558	208931	4665998058	1.6	116563	155740	13708	0.9	196517	245273	23	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	ont	HG00733_20220215_UL_eee-prom1-1D-PAJ02977_guppy-5.0.11-sup-prom_fastq_pass	ERR13491773	PRJEB77558	697101	42437362081	14.1	142508	170099	148710	9.3	198681	229162	8	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	ont	HG00733_20220215_UL_eee-prom1-1F-PAJ09070_guppy-5.0.11-sup-prom_fastq_pass	ERR13491774	PRJEB77558	1123675	33402150084	11.1	108036	150209	91958	5.9	202214	244093	27	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	ont	HG00733_20220215_UL_eee-prom1-2E-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass	ERR13491775	PRJEB77558	7	15431	0.0	3651	3192	0	0.0	0	0	0	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	ont	HG00733_20220215_UL_eee-prom1-2G-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass	ERR13491776	PRJEB77558	3	9886	0.0	8860	7997	0	0.0	0	0	0	exact-match	exact-match	yes
HG00733	female	PUR	AMR	ERZ24811353	ont	all	(summary)	(summary)	5743144	271138196608	90.4	135949	166423	902858	56.9	199258	233413	184	all	(summary)	(summary)
HG00733	female	PUR	AMR	ERZ24811353	strandseq	all	(summary)	PRJEB12849	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG00864	female	CDX	EAS	ERZ24811363	hifi	all	(summary)	(summary)	5030429	102551849693	34.2	20749	21553	0	0.0	0	0	0	all	(summary)	(summary)
HG00864	female	CDX	EAS	ERZ24811363	hifi	m64076_220206_113231.hifi_reads	ERR13491777	PRJEB77558	1527128	31071120436	10.4	20706	21500	0	0.0	0	0	0	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	hifi	m64076_220212_235702.hifi_reads	ERR13491778	PRJEB77558	1755591	35724939823	11.9	20704	21515	0	0.0	0	0	0	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	hifi	m64076_220214_105131.hifi_reads	ERR13491779	PRJEB77558	1747710	35755789434	11.9	20829	21636	0	0.0	0	0	0	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	ont	20230330_HG00864_UL_eee-prom1-2F-PAK94939_guppy-5.0.11-sup-prom_fastq_pass	ERR13110549	PRJEB75739	88784	6073565706	2.0	138664	156669	22915	1.3	183041	205141	0	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	ont	20230411_HG00864_UL_eee-prom1-3A-PAK94259_guppy-5.0.11-sup-prom_fastq_pass	ERR13110550	PRJEB75739	47794	2712575052	0.9	149793	178745	9551	0.6	203104	237138	1	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	ont	20230411_HG00864_UL_eee-prom1-3B-PAK94081_guppy-5.0.11-sup-prom_fastq_pass	ERR13110551	PRJEB75739	242929	16155015686	5.4	156225	187490	57968	3.8	207928	242752	7	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	ont	20230412_HG00864_UL_eee-prom1-3B-PAK94081_guppy-5.0.11-sup-prom_fastq_pass	ERR13110552	PRJEB75739	94848	7360486797	2.5	160714	186059	27752	1.8	204718	233461	0	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	ont	20230413_HG00864_UL_eee-prom1-2D-PAM00916_guppy-5.0.11-sup-prom_fastq_pass	ERR13110553	PRJEB75739	199153	14852139213	5.0	158033	178554	57944	3.6	197690	222153	0	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	ont	20230413_HG00864_UL_eee-prom1-3B-PAK94081_guppy-5.0.11-sup-prom_fastq_pass	ERR13110554	PRJEB75739	104939	7363865189	2.5	129668	146153	27884	1.6	174386	194012	0	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	ont	20230418_HG00864_UL_eee-prom1-3A-PAK98600_guppy-5.0.11-sup-prom_fastq_pass	ERR13110555	PRJEB75739	224883	17268362243	5.8	163042	192054	64730	4.2	207969	240596	18	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	ont	20230419_HG00864_UL_eee-prom1-3A-PAK98600_guppy-5.0.11-sup-prom_fastq_pass	ERR13110556	PRJEB75739	114733	9094468445	3.0	162113	184948	35253	2.2	201729	228483	1	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	ont	20230420_HG00864_UL_eee-prom1-3A-PAK98600_guppy-5.0.11-sup-prom_fastq_pass	ERR13110557	PRJEB75739	88869	6553880953	2.2	158077	180693	25446	1.6	198319	224689	1	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	ont	20230426_HG00864_UL_eee-prom1-3C-PAK78782_guppy-5.0.11-sup-prom_fastq_pass	ERR13110558	PRJEB75739	579163	43029546006	14.3	140242	157373	166338	9.7	182731	202982	2	exact-match	exact-match	yes
HG00864	female	CDX	EAS	ERZ24811363	ont	all	(summary)	(summary)	1786095	130463905290	43.5	149593	172594	495781	30.5	193420	220480	30	all	(summary)	(summary)
HG00864	female	CDX	EAS	ERZ24811363	strandseq	all	(summary)	PRJEB39750	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG01114	female	CLM	AMR	ERZ24811389	hifi	all	(summary)	(summary)	5132266	107393847080	35.8	21191	22226	0	0.0	0	0	0	all	(summary)	(summary)
HG01114	female	CLM	AMR	ERZ24811389	hifi	m64076_220222_003816.hifi_reads	ERR13110559	PRJEB75739	1524912	31838855194	10.6	21149	22161	0	0.0	0	0	0	exact-match	exact-match	yes
HG01114	female	CLM	AMR	ERZ24811389	hifi	m64076_220227_232002.hifi_reads	ERR13110560	PRJEB75739	1751118	36723948151	12.2	21244	22274	0	0.0	0	0	0	exact-match	exact-match	yes
HG01114	female	CLM	AMR	ERZ24811389	hifi	m64076_220301_101421.hifi_reads	ERR13110561	PRJEB75739	1856236	38831043735	12.9	21175	22233	0	0.0	0	0	0	exact-match	exact-match	yes
HG01114	female	CLM	AMR	ERZ24811389	ont	20221025_HG01114_UL_eee-prom1-1C-PAM78971_guppy-5.0.11-sup-prom_fastq_pass	ERR13491780	PRJEB77558	254407	14890030400	5.0	133724	160001	51918	3.2	190849	219144	0	exact-match	exact-match	yes
HG01114	female	CLM	AMR	ERZ24811389	ont	20221101_HG01114_UL_eee-prom1-1B-PAM79352_guppy-5.0.11-sup-prom_fastq_pass	ERR13491781	PRJEB77558	393893	25117663857	8.4	153192	180523	90636	5.8	204684	234644	3	exact-match	exact-match	yes
HG01114	female	CLM	AMR	ERZ24811389	ont	20221102_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass	ERR13491782	PRJEB77558	237240	16815600495	5.6	136256	160799	60863	3.7	188240	215003	3	exact-match	exact-match	yes
HG01114	female	CLM	AMR	ERZ24811389	ont	20221103_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass	ERR13491783	PRJEB77558	40590	2852687953	1.0	127943	150128	10206	0.6	179364	205050	0	exact-match	exact-match	yes
HG01114	female	CLM	AMR	ERZ24811389	ont	20221108_HG01114_UL_eee-prom1-3A-PAM79079_guppy-5.0.11-sup-prom_fastq_pass	ERR13491784	PRJEB77558	640387	21330370090	7.1	106445	124479	70481	3.8	163517	183919	0	exact-match	exact-match	yes
HG01114	female	CLM	AMR	ERZ24811389	ont	20221130_HG01114_UL_eee-prom1-2B-PAG69678_guppy-5.0.11-sup-prom_fastq_pass	ERR13491785	PRJEB77558	614447	45350910793	15.1	156513	188509	159727	10.5	211497	245777	7	exact-match	exact-match	yes
HG01114	female	CLM	AMR	ERZ24811389	ont	20221206_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass	ERR13491786	PRJEB77558	309901	21795685593	7.3	150098	184329	74764	4.9	210076	246356	2	exact-match	exact-match	yes
HG01114	female	CLM	AMR	ERZ24811389	ont	20221207_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass	ERR13491787	PRJEB77558	279530	20612567178	6.9	142618	169449	73373	4.6	196381	225775	2	exact-match	exact-match	yes
HG01114	female	CLM	AMR	ERZ24811389	ont	all	(summary)	(summary)	2770395	168765516359	56.3	140864	170435	591968	37.0	197315	229321	17	all	(summary)	(summary)
HG01114	female	CLM	AMR	ERZ24811389	strandseq	all	(summary)	PRJEB39750	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG01352	female	CLM	AMR	ERZ24811376	hifi	all	(summary)	(summary)	7470651	129642066529	43.2	16935	18137	0	0.0	0	0	0	all	(summary)	(summary)
HG01352	female	CLM	AMR	ERZ24811376	hifi	m54329U_200819_192918.ccs	ERR13491788	PRJEB77558	1755417	28357440737	9.5	16212	16293	0	0.0	0	0	0	m54329U_200819_192918.Q20	fuzzy-match	yes
HG01352	female	CLM	AMR	ERZ24811376	hifi	m54329U_200824_191532.ccs	ERR13491789	PRJEB77558	1639743	26574151881	8.9	16266	16345	0	0.0	0	0	0	m54329U_200824_191532.Q20	fuzzy-match	yes
HG01352	female	CLM	AMR	ERZ24811376	hifi	m54329U_200826_013039.ccs	ERR13491790	PRJEB77558	1310081	21212211819	7.1	16251	16330	0	0.0	0	0	0	m54329U_200826_013039.Q20	fuzzy-match	yes
HG01352	female	CLM	AMR	ERZ24811376	hifi	m54329U_210320_235902.hifi_reads	ERR13491791	PRJEB77558	630988	12730908320	4.2	21130	21550	0	0.0	0	0	0	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	hifi	m54329U_210330_183359.hifi_reads	ERR13491792	PRJEB77558	1242842	23755430479	7.9	19903	20490	0	0.0	0	0	0	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	hifi	m64076_210321_010456.hifi_reads	ERR13110562	PRJEB75739	891580	17011923293	5.7	19848	20426	0	0.0	0	0	0	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	HG01352_20210803_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass	ERR13491793	PRJEB77558	2145617	18822850994	6.3	47016	60655	25038	1.1	134044	148783	0	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	HG01352_20210804_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass	ERR13491794	PRJEB77558	663593	6861332895	2.3	47346	60884	8914	0.4	132282	149813	2	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	HG01352_20210805_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass	ERR13491795	PRJEB77558	255359	3006361717	1.0	46934	59576	3743	0.2	132230	145976	0	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	HG01352_20210817_UL_eee-prom1-1A-PAH35732_guppy-5.0.11-sup-prom_fastq_pass	ERR13491796	PRJEB77558	149810	5698326638	1.9	117258	153219	18463	1.1	181298	227078	16	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	HG01352_20210817_UL_eee-prom1-1C-PAH34287_guppy-5.0.11-sup-prom_fastq_pass	ERR13491797	PRJEB77558	298111	17543877819	5.8	129692	158418	60364	3.6	187482	219763	1	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	HG01352_20210819_UL_eee-prom1-1C-PAH34287_guppy-5.0.11-sup-prom_fastq_pass	ERR13491798	PRJEB77558	26540	1555305820	0.5	105580	127887	4964	0.3	168538	191306	0	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	HG01352_20210831_UL_eee-prom1-3D-PAH62033_guppy-5.0.11-sup-prom_fastq_pass	ERR13491799	PRJEB77558	729440	25008926333	8.3	137597	179967	76937	5.2	218301	259019	11	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	HG01352_20210902_UL_eee-prom1-3D-PAH62033_guppy-5.0.11-sup-prom_fastq_pass	ERR13491800	PRJEB77558	107200	6128499348	2.0	121484	147074	20916	1.2	179286	207433	0	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	HG01352_20210915_UL_eee-prom1-3A-PAH79870_guppy-5.0.11-sup-prom_fastq_pass	ERR13491801	PRJEB77558	701836	34396893653	11.5	156669	200724	111201	7.7	227128	272234	31	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	HG01352_20210917_UL_eee-prom1-3A-PAH79870_guppy-5.0.11-sup-prom_fastq_pass	ERR13491802	PRJEB77558	124964	3650419611	1.2	127784	163866	11488	0.7	200258	239697	0	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	HG01352_20210928_UL_eee-prom1-3A-PAH79825_guppy-5.0.11-sup-prom_fastq_pass	ERR13491803	PRJEB77558	682192	15502354717	5.2	70133	94449	33806	1.8	154865	183942	1	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	HG01352_20211102_UL_eee-prom1-1A-PAI18864_guppy-5.0.11-sup-prom_fastq_pass	ERR13491804	PRJEB77558	1514382	59117667199	19.7	102121	131765	174917	10.0	174755	208115	19	exact-match	exact-match	yes
HG01352	female	CLM	AMR	ERZ24811376	ont	all	(summary)	(summary)	7399044	197292816744	65.8	101925	140645	550751	33.4	187164	228920	81	all	(summary)	(summary)
HG01352	female	CLM	AMR	ERZ24811376	strandseq	all	(summary)	PRJEB39750	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG01457	male	CLM	AMR	ERZ24811375	hifi	JAX_HiFi_HG01457_m64039_210627_040723	ERR10968796	PRJEB58376	1621207	26944962590	9.0	16570	17648	0	0.0	0	0	0	exact-match	exact-match	yes
HG01457	male	CLM	AMR	ERZ24811375	hifi	JAX_HiFi_HG01457_m64039_211217_233816	ERR10968795	PRJEB58376	2221753	36188329639	12.1	16170	17285	0	0.0	0	0	0	exact-match	exact-match	yes
HG01457	male	CLM	AMR	ERZ24811375	hifi	JAX_HiFi_HG01457_m64119_210701_004527	ERR10968792	PRJEB58376	1694345	30621678248	10.2	18292	19305	0	0.0	0	0	0	exact-match	exact-match	yes
HG01457	male	CLM	AMR	ERZ24811375	hifi	JAX_HiFi_HG01457_m64119_210710_045611	ERR10968793	PRJEB58376	1707178	27831909828	9.3	16211	17287	0	0.0	0	0	0	exact-match	exact-match	yes
HG01457	male	CLM	AMR	ERZ24811375	hifi	JAX_HiFi_HG01457_m64119_210723_055657	ERR10968791	PRJEB58376	1288139	20161246105	6.7	15456	16467	0	0.0	0	0	0	exact-match	exact-match	yes
HG01457	male	CLM	AMR	ERZ24811375	hifi	JAX_HiFi_HG01457_m64119_211210_191732	ERR10968794	PRJEB58376	2483063	40287946996	13.4	16099	17226	0	0.0	0	0	0	exact-match	exact-match	yes
HG01457	male	CLM	AMR	ERZ24811375	hifi	all	(summary)	(summary)	11015685	182036073406	60.7	16449	17575	0	0.0	0	0	0	all	(summary)	(summary)
HG01457	male	CLM	AMR	ERZ24811375	ont	20210727_210713_21-lee-006_PCT0053_2-A9-D9_guppy-5.0.11-sup-prom_fastq_pass	ERR11028140	PRJEB58376	1407800	95421232427	31.8	142889	161625	351393	21.3	191013	213221	4	exact-match	exact-match	yes
HG01457	male	CLM	AMR	ERZ24811375	ont	20211022_211012_21-lee-006_PCT0053_2-A5-D5_guppy-5.0.11-sup-prom_fastq_pass	ERR11028083	PRJEB58376	958941	71292115911	23.8	196303	225166	252130	18.4	242229	275119	38	exact-match	exact-match	yes
HG01457	male	CLM	AMR	ERZ24811375	ont	all	(summary)	(summary)	2366741	166713348338	55.6	162157	188797	603523	39.7	210780	241864	42	all	(summary)	(summary)
HG01457	male	CLM	AMR	ERZ24811375	strandseq	all	(summary)	PRJEB39750	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG01505	male	IBS	EUR	ERZ24811383	hifi	JAX_HiFi_HG01505_m64039_220227_171917	ERR10966450	PRJEB58376	1900837	28779311333	9.6	15607	16520	0	0.0	0	0	0	exact-match	exact-match	yes
HG01505	male	IBS	EUR	ERZ24811383	hifi	JAX_HiFi_HG01505_m64119_220223_062343	ERR10966449	PRJEB58376	2505090	39435278163	13.1	16190	17197	0	0.0	0	0	0	exact-match	exact-match	yes
HG01505	male	IBS	EUR	ERZ24811383	hifi	JAX_HiFi_HG01505_m64119_220302_072750	ERR10966448	PRJEB58376	2347805	38945895965	13.0	16835	17869	0	0.0	0	0	0	exact-match	exact-match	yes
HG01505	male	IBS	EUR	ERZ24811383	hifi	all	(summary)	(summary)	6753732	107160485461	35.7	16268	17259	0	0.0	0	0	0	all	(summary)	(summary)
HG01505	male	IBS	EUR	ERZ24811383	ont	20220405_220329_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass	ERR11028095	PRJEB58376	1464684	91540711392	30.5	147572	172335	328053	20.7	199261	227979	5	exact-match	exact-match	yes
HG01505	male	IBS	EUR	ERZ24811383	ont	20220408_220405_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass	ERR11028138	PRJEB58376	537977	29921074880	10.0	135950	156374	106914	6.4	188226	212314	1	exact-match	exact-match	yes
HG01505	male	IBS	EUR	ERZ24811383	ont	20220408_220406_21-lee-006_PC24B149_1F_guppy-5.0.11-sup-prom_fastq_pass	ERR11028092	PRJEB58376	241587	19177244354	6.4	151006	170881	72619	4.5	194496	218665	0	exact-match	exact-match	yes
HG01505	male	IBS	EUR	ERZ24811383	ont	20220412_220407_21-lee-006_PC24B149_1F_guppy-5.0.11-sup-prom_fastq_pass	ERR11028091	PRJEB58376	279128	16455368476	5.5	138501	159311	59014	3.6	189946	214920	0	exact-match	exact-match	yes
HG01505	male	IBS	EUR	ERZ24811383	ont	all	(summary)	(summary)	2523376	157094399102	52.4	144708	167753	566600	35.1	195558	222597	6	all	(summary)	(summary)
HG01505	male	IBS	EUR	ERZ24811383	strandseq	all	(summary)	PRJEB39750	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG01573	female	PEL	AMR	ERZ24811862	hifi	all	(summary)	(summary)	6409050	125823884282	41.9	19945	20799	0	0.0	0	0	0	all	(summary)	(summary)
HG01573	female	PEL	AMR	ERZ24811862	hifi	m64076_220316_013247.hifi_reads	ERR13110563	PRJEB75739	2057341	40449363238	13.5	19976	20831	0	0.0	0	0	0	exact-match	exact-match	yes
HG01573	female	PEL	AMR	ERZ24811862	hifi	m64076_220320_103439.hifi_reads	ERR13110564	PRJEB75739	2110305	41253642460	13.8	19849	20704	0	0.0	0	0	0	exact-match	exact-match	yes
