chrom	chromStart	chromEnd	name	strand	thickStart	thickEnd	name2	geneName	geneName2
chr6	31400694	31411908	NM_005007.4	+	31400781	31411690	NFKBIL1	NM_005007.4	NFKBIL1
chr6	31425148	31427376	NM_001159740.2	+	31425794	31426745	LTA	NM_001159740.2	LTA
chr6	31425338	31427376	NM_000595.4	+	31425794	31426745	LTA	NM_000595.4	LTA
chr6	31428616	31431388	NM_000594.4	+	31428793	31430589	TNF	NM_000594.4	TNF
chr6	31433609	31435476	NM_002341.2	-	31433760	31435469	LTB	NM_002341.2	LTB
chr6	31433609	31435477	NM_009588.1	-	31434610	31435469	LTB	NM_009588.1	LTB
chr6	31439326	31441957	NM_205838.3	+	31440349	31441724	LST1	NM_205838.3	LST1
chr6	31439326	31441957	NM_205839.3	+	31440349	31441724	LST1	NM_205839.3	LST1
chr6	31439748	31441957	NM_205837.3	+	31440349	31441633	LST1	NM_205837.3	LST1
chr6	31440249	31441957	NM_001166538.1	+	31440349	31441724	LST1	NM_001166538.1	LST1
chr6	31440249	31441957	NM_007161.3	+	31440349	31441724	LST1	NM_007161.3	LST1
chr6	31440249	31441957	NM_205840.2	+	31440349	31441633	LST1	NM_205840.2	LST1
chr6	31441942	31446054	NM_001145466.2	-	31442241	31445769	NCR3	NM_001145466.2	NCR3
chr6	31441942	31446054	NM_147130.3	-	31442114	31445769	NCR3	NM_147130.3	NCR3
chr6	31442319	31446054	NM_001145467.2	-	31442359	31445769	NCR3	NM_001145467.2	NCR3
chr6	31468283	31470065	NM_001318970.2	+	31469161	31469950	AIF1	NM_001318970.2	AIF1
chr6	31468283	31470065	NM_001623.5	+	31468379	31469950	AIF1	NM_001623.5	AIF1
chr6	31469040	31470065	NM_032955.3	+	31469161	31469950	AIF1	NM_032955.3	AIF1
chr6	31473759	31490814	NM_004638.4	+	31475837	31490629	PRRC2A	NM_004638.4	PRRC2A
chr6	31473759	31490814	NM_080686.3	+	31475837	31490629	PRRC2A	NM_080686.3	PRRC2A
chr6	31492069	31505200	NM_001388013.1	-	31492172	31504792	BAG6	NM_001388013.1	BAG6
chr6	31492069	31505200	NM_001388014.1	-	31492172	31504792	BAG6	NM_001388014.1	BAG6
chr6	31492069	31505200	NM_001388015.1	-	31492172	31504792	BAG6	NM_001388015.1	BAG6
chr6	31492069	31505200	NM_001388016.1	-	31492172	31504792	BAG6	NM_001388016.1	BAG6
chr6	31492069	31505200	NM_001388017.1	-	31492172	31504792	BAG6	NM_001388017.1	BAG6
chr6	31492069	31505200	NM_001388018.1	-	31492172	31504792	BAG6	NM_001388018.1	BAG6
chr6	31492069	31505200	NM_001388019.1	-	31492172	31504792	BAG6	NM_001388019.1	BAG6
chr6	31492069	31505200	NM_001388020.1	-	31492172	31504792	BAG6	NM_001388020.1	BAG6
chr6	31492069	31505423	NM_001098534.2	-	31492172	31504792	BAG6	NM_001098534.2	BAG6
chr6	31492069	31505423	NM_001387997.1	-	31492172	31504792	BAG6	NM_001387997.1	BAG6
chr6	31492069	31505423	NM_001387998.1	-	31492172	31504792	BAG6	NM_001387998.1	BAG6
chr6	31492069	31505423	NM_001387999.1	-	31492172	31504792	BAG6	NM_001387999.1	BAG6
chr6	31492069	31505423	NM_001388000.1	-	31492172	31504792	BAG6	NM_001388000.1	BAG6
chr6	31492069	31505423	NM_001388001.1	-	31492172	31504792	BAG6	NM_001388001.1	BAG6
chr6	31492069	31505423	NM_001388002.1	-	31492172	31504792	BAG6	NM_001388002.1	BAG6
chr6	31492069	31505423	NM_001388003.1	-	31492172	31504792	BAG6	NM_001388003.1	BAG6
chr6	31492069	31505423	NM_001388004.1	-	31492172	31504792	BAG6	NM_001388004.1	BAG6
chr6	31492069	31505423	NM_001388005.1	-	31492172	31504792	BAG6	NM_001388005.1	BAG6
chr6	31492069	31505423	NM_001388006.1	-	31492172	31504792	BAG6	NM_001388006.1	BAG6
chr6	31492069	31505423	NM_001388007.1	-	31492172	31504792	BAG6	NM_001388007.1	BAG6
chr6	31492069	31505423	NM_001388008.1	-	31492172	31504792	BAG6	NM_001388008.1	BAG6
chr6	31492069	31505423	NM_001388009.1	-	31492172	31504792	BAG6	NM_001388009.1	BAG6
chr6	31492069	31505423	NM_001388010.1	-	31492172	31504792	BAG6	NM_001388010.1	BAG6
chr6	31492069	31505423	NM_001388011.1	-	31492172	31504792	BAG6	NM_001388011.1	BAG6
chr6	31492069	31505423	NM_001388012.1	-	31492172	31504792	BAG6	NM_001388012.1	BAG6
chr6	31492069	31505694	NM_001199697.2	-	31492172	31504792	BAG6	NM_001199697.2	BAG6
chr6	31492069	31505694	NM_001199698.2	-	31492172	31504792	BAG6	NM_001199698.2	BAG6
chr6	31492069	31505694	NM_001387940.1	-	31492172	31504792	BAG6	NM_001387940.1	BAG6
chr6	31492069	31505694	NM_001387942.1	-	31492172	31504792	BAG6	NM_001387942.1	BAG6
chr6	31492069	31505694	NM_001387943.1	-	31492172	31504792	BAG6	NM_001387943.1	BAG6
chr6	31492069	31505694	NM_001387944.1	-	31492172	31504792	BAG6	NM_001387944.1	BAG6
chr6	31492069	31505694	NM_001387946.1	-	31492172	31504792	BAG6	NM_001387946.1	BAG6
chr6	31492069	31505694	NM_001387949.1	-	31492172	31504792	BAG6	NM_001387949.1	BAG6
chr6	31492069	31505694	NM_001387951.1	-	31492172	31504792	BAG6	NM_001387951.1	BAG6
chr6	31492069	31505694	NM_001387954.1	-	31492172	31504792	BAG6	NM_001387954.1	BAG6
chr6	31492069	31505694	NM_001387955.1	-	31492172	31504792	BAG6	NM_001387955.1	BAG6
chr6	31492069	31505694	NM_001387956.1	-	31492172	31504792	BAG6	NM_001387956.1	BAG6
chr6	31492069	31505694	NM_001387958.1	-	31492172	31504792	BAG6	NM_001387958.1	BAG6
chr6	31492069	31505694	NM_001387961.1	-	31492172	31504792	BAG6	NM_001387961.1	BAG6
chr6	31492069	31505694	NM_001387963.1	-	31492172	31504792	BAG6	NM_001387963.1	BAG6
chr6	31492069	31505694	NM_001387964.1	-	31492172	31504792	BAG6	NM_001387964.1	BAG6
chr6	31492069	31505694	NM_001387965.1	-	31492172	31504792	BAG6	NM_001387965.1	BAG6
chr6	31492069	31505694	NM_001387982.1	-	31492172	31504792	BAG6	NM_001387982.1	BAG6
chr6	31492069	31505694	NM_001387983.1	-	31492172	31504792	BAG6	NM_001387983.1	BAG6
chr6	31492069	31505694	NM_001387984.1	-	31492172	31504792	BAG6	NM_001387984.1	BAG6
chr6	31492069	31505694	NM_001387985.1	-	31492172	31504792	BAG6	NM_001387985.1	BAG6
chr6	31492069	31505694	NM_001387986.1	-	31492172	31504792	BAG6	NM_001387986.1	BAG6
chr6	31492069	31505694	NM_001387987.1	-	31492172	31504792	BAG6	NM_001387987.1	BAG6
chr6	31492069	31505694	NM_001387988.1	-	31492172	31504792	BAG6	NM_001387988.1	BAG6
chr6	31492069	31505694	NM_001387989.1	-	31492172	31504792	BAG6	NM_001387989.1	BAG6
chr6	31492069	31505694	NM_001387990.1	-	31492172	31504792	BAG6	NM_001387990.1	BAG6
chr6	31492069	31505694	NM_001387991.1	-	31492172	31504792	BAG6	NM_001387991.1	BAG6
chr6	31492069	31505694	NM_001387992.1	-	31492172	31504792	BAG6	NM_001387992.1	BAG6
chr6	31492069	31505694	NM_001387993.1	-	31492172	31504792	BAG6	NM_001387993.1	BAG6
chr6	31492069	31505694	NM_001387994.1	-	31492172	31504792	BAG6	NM_001387994.1	BAG6
chr6	31492069	31505694	NM_001387995.1	-	31492172	31504792	BAG6	NM_001387995.1	BAG6
chr6	31492069	31505694	NM_001387996.1	-	31492172	31504792	BAG6	NM_001387996.1	BAG6
chr6	31492069	31505694	NM_080702.3	-	31492172	31504792	BAG6	NM_080702.3	BAG6
chr6	31492069	31505694	NM_080703.3	-	31492172	31504792	BAG6	NM_080703.3	BAG6
chr6	31505436	31511243	NM_001256169.2	+	31509606	31511122	APOM	NM_001256169.2	APOM
chr6	31508926	31511243	NM_019101.3	+	31508999	31511122	APOM	NM_019101.3	APOM
chr6	31511330	31513811	NM_021184.4	-	31512095	31512980	C6orf47	NM_021184.4	C6orf47
chr6	31514260	31518031	NM_033177.4	-	31515298	31517512	GPANK1	NM_033177.4	GPANK1
chr6	31514261	31518664	NM_001199240.1	-	31515298	31517512	GPANK1	NM_001199240.1	GPANK1
chr6	31514261	31518896	NM_001199238.1	-	31515298	31517512	GPANK1	NM_001199238.1	GPANK1
chr6	31514261	31518896	NM_001199239.1	-	31515298	31517512	GPANK1	NM_001199239.1	GPANK1
chr6	31514261	31519317	NM_001199237.1	-	31515298	31517512	GPANK1	NM_001199237.1	GPANK1
chr6	31519113	31523101	NM_001282385.2	+	31519865	31522960	CSNK2B	NM_001282385.2	CSNK2B
chr6	31519113	31523101	NM_001320.7	+	31519865	31522960	CSNK2B	NM_001320.7	CSNK2B
chr6	31523009	31526580	NM_021221.3	+	31523984	31525316	LY6G5B	NM_021221.3	LY6G5B
chr6	31529717	31534101	NM_025262.4	-	31529990	31533407	LY6G5C	NM_025262.4	LY6G5C
chr6	31539988	31555993	NM_001177515.2	-	31540245	31555803	ABHD16A	NM_001177515.2	ABHD16A
chr6	31539988	31556359	NM_021160.3	-	31540245	31556316	ABHD16A	NM_021160.3	ABHD16A
chr6	31559900	31563714	NM_001003693.3	+	31559941	31563626	LY6G6F	NM_001003693.3	LY6G6F
chr6	31559900	31570952	NM_001353334.2	+	31559941	31570837	LY6G6F-LY6G6D	NM_001353334.2	LY6G6F-LY6G6D
chr6	31568382	31570952	NM_021246.4	+	31568390	31570837	LY6G6D	NM_021246.4	LY6G6D
chr6	31571680	31574779	NM_025261.3	-	31572128	31574712	LY6G6C	NM_025261.3	LY6G6C
chr6	31576405	31579747	NM_025260.4	+	31576416	31578076	MPIG6B	NM_025260.4	MPIG6B
chr6	31576405	31579747	NM_138272.3	+	31576416	31578107	MPIG6B	NM_138272.3	MPIG6B
chr6	31576405	31579747	NM_138273.3	+	31576416	31578107	MPIG6B	NM_138273.3	MPIG6B
chr6	31576405	31579747	NM_138274.3	+	31576416	31578076	MPIG6B	NM_138274.3	MPIG6B
chr6	31576405	31579747	NM_138275.3	+	31576416	31578107	MPIG6B	NM_138275.3	MPIG6B
chr6	31576405	31579747	NM_138277.3	+	31576416	31577906	MPIG6B	NM_138277.3	MPIG6B
chr6	31580072	31582332	NM_001303007.2	-	31580269	31582194	DDAH2	NM_001303007.2	DDAH2
chr6	31580072	31582548	NM_001303008.2	-	31580269	31582194	DDAH2	NM_001303008.2	DDAH2
chr6	31580072	31583296	NM_013974.3	-	31580269	31582194	DDAH2	NM_013974.3	DDAH2
chr6	31583613	31589567	NM_001287594.3	-	31583874	31589337	CLIC1	NM_001287594.3	CLIC1
chr6	31583613	31590355	NM_001287593.1	-	31583874	31589337	CLIC1	NM_001287593.1	CLIC1
chr6	31583631	31589567	NM_001288.6	-	31583874	31589337	CLIC1	NM_001288.6	CLIC1
chr6	31593028	31615723	NM_002441.5	+	31593490	31615578	MSH5	NM_002441.5	MSH5
chr6	31593028	31615723	NM_025259.6	+	31593490	31615578	MSH5	NM_025259.6	MSH5
chr6	31593028	31615723	NM_172165.4	+	31593490	31615578	MSH5	NM_172165.4	MSH5
chr6	31593028	31615723	NM_172166.4	+	31593490	31615578	MSH5	NM_172166.4	MSH5
chr6	31615702	31617897	NM_001039651.2	+	31616101	31617578	SAPCD1	NM_001039651.2	SAPCD1
chr6	31618636	31630375	NM_025258.3	-	31618640	31629826	VWA7	NM_025258.3	VWA7
chr6	31630564	31648800	NM_006295.3	-	31630640	31648265	VARS1	NM_006295.3	VARS1
chr6	31650443	31660015	NM_021177.5	-	31650804	31659806	LSM2	NM_021177.5	LSM2
chr6	31662675	31668340	NM_005527.4	-	31663103	31665029	HSPA1L	NM_005527.4	HSPA1L
chr6	31668599	31670999	NM_005345.6	+	31668813	31670739	HSPA1A	NM_005345.6	HSPA1A
chr6	31680801	31683317	NM_005346.6	+	31681014	31682940	HSPA1B	NM_005346.6	HSPA1B
chr6	31710898	31716061	NM_000434.4	-	31712958	31716016	NEU1	NM_000434.4	NEU1
chr6	31716431	31730906	NM_001178045.2	-	31716866	31729100	SLC44A4	NM_001178045.2	SLC44A4
chr6	31716431	31732232	NM_001178044.2	-	31716866	31732215	SLC44A4	NM_001178044.2	SLC44A4
chr6	31716431	31732232	NM_025257.3	-	31716866	31732215	SLC44A4	NM_025257.3	SLC44A4
chr6	31732993	31750940	NM_001289413.2	-	31733318	31750444	EHMT2	NM_001289413.2	EHMT2
chr6	31732993	31750940	NM_001318833.2	-	31733318	31746104	EHMT2	NM_001318833.2	EHMT2
chr6	31732993	31750940	NM_001363689.2	-	31733318	31750444	EHMT2	NM_001363689.2	EHMT2
chr6	31732993	31750940	NM_001395160.1	-	31733318	31750919	EHMT2	NM_001395160.1	EHMT2
chr6	31732993	31750940	NM_001395161.1	-	31733318	31750919	EHMT2	NM_001395161.1	EHMT2
chr6	31732993	31750940	NM_001395162.1	-	31733318	31750919	EHMT2	NM_001395162.1	EHMT2
chr6	31732993	31750940	NM_001395163.1	-	31733318	31750919	EHMT2	NM_001395163.1	EHMT2
chr6	31732993	31750940	NM_001395164.1	-	31733318	31750919	EHMT2	NM_001395164.1	EHMT2
chr6	31732993	31750940	NM_001395165.1	-	31733318	31750919	EHMT2	NM_001395165.1	EHMT2
chr6	31732993	31750940	NM_006709.5	-	31733318	31750919	EHMT2	NM_006709.5	EHMT2
chr6	31732993	31750940	NM_025256.7	-	31733318	31750919	EHMT2	NM_025256.7	EHMT2
chr6	31751024	31798877	NM_001282457.2	+	31786877	31798562	C2	NM_001282457.2	C2
chr6	31752856	31755330	NM_181842.3	-	31753169	31754549	ZBTB12	NM_181842.3	ZBTB12
chr6	31754242	31798877	NM_001178063.3	+	31754310	31798562	C2	NM_001178063.3	C2
chr6	31780971	31788263	NM_001282459.2	+	31781007	31787642	C2	NM_001282459.2	C2
chr6	31780971	31798877	NM_000063.6	+	31781007	31798562	C2	NM_000063.6	C2
chr6	31780971	31798877	NM_001145903.3	+	31781007	31798562	C2	NM_001145903.3	C2
chr6	31780971	31798877	NM_001282458.2	+	31781278	31798562	C2	NM_001282458.2	C2
chr6	31799299	31805289	NM_001710.6	+	31799426	31805235	CFB	NM_001710.6	CFB
chr6	31805291	31812176	NM_002904.6	-	31805505	31811651	NELFE	NM_002904.6	NELFE
chr6	31812379	31822956	NM_006929.5	+	31812397	31822920	SKIC2	NM_006929.5	SKIC2
chr6	31823019	31825343	NM_001371205.1	-	31823081	31824156	DXO	NM_001371205.1	DXO
chr6	31823019	31825343	NM_001371206.1	-	31823081	31824156	DXO	NM_001371206.1	DXO
chr6	31823019	31825343	NM_005510.4	-	31823081	31824880	DXO	NM_005510.4	DXO
chr6	31825073	31834652	NM_032454.1	+	31825201	31834255	STK19	NM_032454.1	STK19
chr6	31825567	31834652	NM_004197.2	+	31825616	31834255	STK19	NM_004197.2	STK19
chr6	31835262	31855887	NM_001252204.2	+	31835313	31855746	C4A	NM_001252204.2	C4A
chr6	31835262	31855887	NM_007293.3	+	31835313	31855746	C4A	NM_007293.3	C4A
chr6	31868000	31888625	NM_001002029.4	+	31868051	31888484	C4B	NM_001002029.4	C4B
chr6	31891621	31894846	NM_001128590.4	+	31891629	31894338	CYP21A2	NM_001128590.4	CYP21A2
chr6	31891621	31894846	NM_001368143.2	+	31892410	31894338	CYP21A2	NM_001368143.2	CYP21A2
chr6	31891621	31894846	NM_001368144.2	+	31892410	31894338	CYP21A2	NM_001368144.2	CYP21A2
chr6	31891621	31894848	NM_000500.9	+	31891629	31894338	CYP21A2	NM_000500.9	CYP21A2
chr6	31894356	31899332	NM_032470.4	-	31894552	31898423	TNXB	NM_032470.4	TNXB
chr6	31894356	31962530	NM_001365276.2	-	31894552	31951396	TNXB	NM_001365276.2	TNXB
chr6	31894356	31962530	NM_019105.8	-	31894552	31951396	TNXB	NM_019105.8	TNXB
chr6	31968455	31981438	NM_001136153.2	-	31968930	31981399	ATF6B	NM_001136153.2	ATF6B
chr6	31968455	31981438	NM_004381.5	-	31968930	31981399	ATF6B	NM_004381.5	ATF6B
chr6	31981898	31983480	NM_022110.4	-	31981922	31982972	FKBPL	NM_022110.4	FKBPL
chr6	32001550	32005127	NM_030651.4	-	32002409	32005015	PRRT1	NM_030651.4	PRRT1
chr6	32001550	32006271	NM_001363780.2	-	32002409	32005290	PRRT1	NM_001363780.2	PRRT1
chr6	32006715	32016865	NM_138717.3	+	32006814	32016140	PPT2	NM_138717.3	PPT2
chr6	32007328	32016865	NM_001204103.2	+	32007782	32016140	PPT2	NM_001204103.2	PPT2
chr6	32007328	32016865	NM_005155.7	+	32007782	32016140	PPT2	NM_005155.7	PPT2
chr6	32017784	32021472	NM_030652.4	+	32019356	32021147	EGFL8	NM_030652.4	EGFL8
chr6	32021402	32026307	NM_001371439.1	-	32022466	32024687	AGPAT1	NM_001371439.1	AGPAT1
chr6	32021402	32029275	NM_006411.4	-	32022466	32024687	AGPAT1	NM_006411.4	AGPAT1
chr6	32021402	32030311	NM_001371437.1	-	32022466	32029703	AGPAT1	NM_001371437.1	AGPAT1
chr6	32021402	32030537	NM_001371438.1	-	32022466	32024687	AGPAT1	NM_001371438.1	AGPAT1
chr6	32021402	32031299	NM_032741.5	-	32022466	32024687	AGPAT1	NM_032741.5	AGPAT1
chr6	32031595	32033984	NM_006913.4	+	32031702	32033517	RNF5	NM_006913.4	RNF5
chr6	32034159	32037444	NM_001136.5	-	32034333	32037413	AGER	NM_001136.5	AGER
chr6	32034159	32037444	NM_001206929.2	-	32034333	32037413	AGER	NM_001206929.2	AGER
chr6	32034159	32037444	NM_001206932.2	-	32034333	32037413	AGER	NM_001206932.2	AGER
chr6	32034159	32037444	NM_001206934.2	-	32034743	32037413	AGER	NM_001206934.2	AGER
chr6	32034159	32037444	NM_001206936.2	-	32034383	32037413	AGER	NM_001206936.2	AGER
chr6	32034159	32037444	NM_001206940.2	-	32034743	32037413	AGER	NM_001206940.2	AGER
chr6	32034159	32037444	NM_001206954.2	-	32034383	32037413	AGER	NM_001206954.2	AGER
chr6	32034159	32037444	NM_001206966.2	-	32034743	32037413	AGER	NM_001206966.2	AGER
chr6	32034159	32037444	NM_172197.3	-	32034364	32037413	AGER	NM_172197.3	AGER
chr6	32037923	32043391	NM_002586.5	-	32039570	32043104	PBX2	NM_002586.5	PBX2
chr6	32043954	32045832	NM_001276501.2	-	32044554	32045702	GPSM3	NM_001276501.2	GPSM3
chr6	32043954	32048712	NM_022107.3	-	32044554	32045702	GPSM3	NM_022107.3	GPSM3
chr6	32048031	32077265	NM_004557.4	-	32048625	32077126	NOTCH4	NM_004557.4	NOTCH4
chr6	32145998	32224841	NM_001286474.2	-	32146281	32224644	TSBP1	NM_001286474.2	TSBP1
chr6	32145998	32224841	NM_001286475.2	-	32146281	32224644	TSBP1	NM_001286475.2	TSBP1
chr6	32145998	32224841	NM_006781.5	-	32146281	32224644	TSBP1	NM_006781.5	TSBP1
chr6	32246261	32260103	NM_001304561.2	-	32246891	32260045	BTNL2	NM_001304561.2	BTNL2
chr6	32292810	32297976	NM_019111.5	+	32292874	32296832	HLA-DRA	NM_019111.5	HLA-DRA
chr6	32345226	32358367	NM_022555.4	-	32345546	32358260	HLA-DRB3	NM_022555.4	HLA-DRB3
chr6	32408980	32422402	NM_001243965.1	-	32409302	32422308	HLA-DRB1	NM_001243965.1	HLA-DRB1
chr6	32466420	32472812	NM_002122.5	+	32466473	32471898	HLA-DQA1	NM_002122.5	HLA-DQA1
chr6	32482490	32489842	NM_001243962.1	-	32483260	32489760	HLA-DQB1	NM_001243962.1	HLA-DQB1
chr6	32482491	32489810	NM_001243961.2	-	32483260	32489760	HLA-DQB1	NM_001243961.2	HLA-DQB1
chr6	32482491	32489810	NM_002123.5	-	32483260	32489760	HLA-DQB1	NM_002123.5	HLA-DQB1
chr6	32564116	32569925	NM_020056.5	+	32564169	32569122	HLA-DQA2	NM_020056.5	HLA-DQA2
chr6	32578823	32586261	NM_001198858.2	-	32579178	32586199	HLA-DQB2	NM_001198858.2	HLA-DQB2
chr6	32578823	32586261	NM_001300790.2	-	32579178	32586199	HLA-DQB2	NM_001300790.2	HLA-DQB2
chr6	32634116	32638355	NM_002120.4	-	32634569	32638304	HLA-DOB	NM_002120.4	HLA-DOB
chr6	32643186	32660112	NM_018833.3	-	32643644	32659609	TAP2	NM_018833.3	TAP2
chr6	32646784	32660143	NM_000544.3	-	32650229	32659609	TAP2	NM_000544.3	TAP2
chr6	32646789	32660112	NM_001290043.2	-	32650280	32659609	TAP2	NM_001290043.2	TAP2
chr6	32662091	32665422	NM_148919.4	-	32662333	32665371	PSMB8	NM_148919.4	PSMB8
chr6	32662091	32666054	NM_004159.5	-	32662333	32665788	PSMB8	NM_004159.5	PSMB8
chr6	32666583	32674136	NM_001292022.2	-	32666953	32673872	TAP1	NM_001292022.2	TAP1
chr6	32666583	32675079	NM_000593.6	-	32666953	32675011	TAP1	NM_000593.6	TAP1
chr6	32675566	32681226	NM_002800.5	+	32675604	32680907	PSMB9	NM_002800.5	PSMB9
chr6	32755984	32762378	NM_002118.5	-	32756319	32762157	HLA-DMB	NM_002118.5	HLA-DMB
chr6	32769954	32774437	NM_006120.4	-	32770203	32774376	HLA-DMA	NM_006120.4	HLA-DMA
chr6	32789952	32802867	NM_005104.4	+	32794257	32802083	BRD2	NM_005104.4	BRD2
chr6	32792288	32802867	NM_001113182.3	+	32794257	32802083	BRD2	NM_001113182.3	BRD2
chr6	32792288	32802867	NM_001291986.2	+	32796769	32802083	BRD2	NM_001291986.2	BRD2
chr6	32792953	32802871	NM_001199455.1	+	32794257	32802083	BRD2	NM_001199455.1	BRD2
chr6	32794442	32802867	NM_001199456.2	+	32795932	32802083	BRD2	NM_001199456.2	BRD2
chr6	32825531	32830941	NM_002119.4	-	32828187	32830886	HLA-DOA	NM_002119.4	HLA-DOA
chr6	32885919	32895000	NM_033554.4	-	32890000	32894921	HLA-DPA1	NM_033554.4	HLA-DPA1
chr6	32885919	32902099	NM_001242524.2	-	32890000	32894921	HLA-DPA1	NM_001242524.2	HLA-DPA1
chr6	32885919	32902099	NM_001242525.2	-	32890000	32894921	HLA-DPA1	NM_001242525.2	HLA-DPA1
chr6	32889010	32895000	NM_001405020.1	-	32890000	32894921	HLA-DPA1	NM_001405020.1	HLA-DPA1
chr6	32897340	32911047	NM_002121.6	+	32897392	32907589	HLA-DPB1	NM_002121.6	HLA-DPB1
chr6	32984046	33013820	NM_080679.3	-	32985030	33013593	COL11A2	NM_080679.3	COL11A2
chr6	32984046	33013820	NM_080680.3	-	32985030	33013593	COL11A2	NM_080680.3	COL11A2
chr6	32984046	33013820	NM_080681.3	-	32985030	33013593	COL11A2	NM_080681.3	COL11A2
chr6	33007797	33013820	NM_001163771.2	-	33007904	33013593	COL11A2	NM_001163771.2	COL11A2
chr6	33014940	33022018	NM_001270401.2	-	33016034	33021829	RXRB	NM_001270401.2	RXRB
chr6	33014940	33022018	NM_021976.5	-	33016034	33021829	RXRB	NM_021976.5	RXRB
chr6	33014940	33022206	NM_001291989.2	-	33016034	33022135	RXRB	NM_001291989.2	RXRB
chr6	33022219	33025790	NM_001077516.2	+	33022598	33025166	SLC39A7	NM_001077516.2	SLC39A7
chr6	33022219	33025790	NM_001288777.2	+	33022689	33025166	SLC39A7	NM_001288777.2	SLC39A7
chr6	33022219	33025790	NM_006979.3	+	33022598	33025166	SLC39A7	NM_006979.3	SLC39A7
chr6	33026007	33028184	NM_014234.5	+	33026021	33028007	HSD17B8	NM_014234.5	HSD17B8
chr6	33029852	33034069	NM_002931.4	+	33030175	33033752	RING1	NM_002931.4	RING1
chr6	33071633	33093327	NM_001289175.1	-	33072202	33090548	VPS52	NM_001289175.1	VPS52
chr6	33071633	33093327	NM_001289176.1	-	33072202	33090548	VPS52	NM_001289176.1	VPS52
chr6	33071639	33093238	NM_001289174.2	-	33072202	33091587	VPS52	NM_001289174.2	VPS52
chr6	33071639	33093238	NM_022553.6	-	33072202	33093037	VPS52	NM_022553.6	VPS52
chr6	33093436	33097873	NM_022551.3	+	33093481	33097828	RPS18	NM_022551.3	RPS18
chr6	33098484	33100187	NM_003782.4	+	33098781	33099918	B3GALT4	NM_003782.4	B3GALT4
chr6	33100469	33110601	NM_001164267.2	-	33100637	33110532	WDR46	NM_001164267.2	WDR46
chr6	33100469	33110601	NM_005452.6	-	33100637	33110532	WDR46	NM_005452.6	WDR46
chr6	33110958	33112296	NM_001265596.1	+	33111218	33112207	PFDN6	NM_001265596.1	PFDN6
chr6	33110962	33112295	NM_001185181.3	+	33111218	33112207	PFDN6	NM_001185181.3	PFDN6
chr6	33110962	33112295	NM_001265595.2	+	33111218	33112207	PFDN6	NM_001265595.2	PFDN6
chr6	33110962	33112295	NM_014260.4	+	33111218	33112207	PFDN6	NM_014260.4	PFDN6
chr6	33113015	33120304	NM_001243738.2	-	33113463	33118132	RGL2	NM_001243738.2	RGL2
chr6	33113015	33120304	NM_004761.5	-	33113463	33119972	RGL2	NM_004761.5	RGL2
chr6	33121055	33135440	NM_001410875.1	-	33123053	33135403	TAPBP	NM_001410875.1	TAPBP
chr6	33121055	33135440	NM_003190.5	-	33123121	33135403	TAPBP	NM_003190.5	TAPBP
chr6	33121055	33135440	NM_172209.3	-	33123121	33135403	TAPBP	NM_172209.3	TAPBP
chr6	33124967	33135440	NM_172208.3	-	33125136	33135403	TAPBP	NM_172208.3	TAPBP
chr6	33135779	33139106	NM_005453.5	-	33136373	33138278	ZBTB22	NM_005453.5	ZBTB22
chr6	33135779	33139304	NM_001145338.2	-	33136373	33138278	ZBTB22	NM_001145338.2	ZBTB22
chr6	33139919	33144321	NM_001141969.2	-	33140104	33143287	DAXX	NM_001141969.2	DAXX
chr6	33139919	33144321	NM_001141970.2	-	33140104	33144276	DAXX	NM_001141970.2	DAXX
chr6	33139919	33144321	NM_001254717.2	-	33140104	33142911	DAXX	NM_001254717.2	DAXX
chr6	33139919	33144321	NM_001350.5	-	33140104	33143287	DAXX	NM_001350.5	DAXX
chr6	33144989	33150641	NM_001369203.1	-	33150387	33150627	SMIM40	NM_001369203.1	SMIM40
chr6	33213184	33231258	NM_002263.4	+	33213347	33231052	KIFC1	NM_002263.4	KIFC1
chr6	33232375	33237801	NM_002636.5	+	33233625	33237236	PHF1	NM_002636.5	PHF1
chr6	33232375	33237801	NM_024165.3	+	33233625	33237460	PHF1	NM_024165.3	PHF1
chr6	33237803	33239469	NM_001014433.3	-	33238011	33239030	CUTA	NM_001014433.3	CUTA
chr6	33237803	33239469	NM_001014837.2	-	33238011	33239030	CUTA	NM_001014837.2	CUTA
chr6	33237803	33239469	NM_001014838.2	-	33238011	33239030	CUTA	NM_001014838.2	CUTA
chr6	33237803	33239469	NM_001014840.2	-	33238011	33239362	CUTA	NM_001014840.2	CUTA
chr6	33237803	33239469	NM_015921.3	-	33238011	33239030	CUTA	NM_015921.3	CUTA
chr6	33241427	33275052	NM_001130066.2	+	33241627	33273165	SYNGAP1	NM_001130066.2	SYNGAP1
chr6	33241427	33275052	NM_006772.3	+	33241627	33273269	SYNGAP1	NM_006772.3	SYNGAP1
chr6	33275938	33278907	NM_152735.4	+	33276463	33277885	ZBTB9	NM_152735.4	ZBTB9
chr6	33393741	33401466	NM_001188.4	-	33394992	33398794	BAK1	NM_001188.4	BAK1
chr6	33442506	33517747	NM_002224.4	+	33442787	33516966	ITPR3	NM_002224.4	ITPR3
chr6	33517948	33532883	NM_032340.4	-	33518837	33532869	UQCC2	NM_032340.4	UQCC2
chr6	33542844	33568085	NM_001142883.2	-	33543902	33556657	IP6K3	NM_001142883.2	IP6K3
