# AUTOGEN TABLE - DO NOT EDIT
# notebooks/tables/asm-stats-summary-table.ipynb|20240531T1622
# hifiasm v0.19.5 HGSVC3 phased assemblies
# 65 samples
sequence			asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2
NA20509	31	2	1.0	96040008.0	101926436.0	3014673765.0	185.0	1.0	96040008.0	102035684.0	3011444207.0	109.0	1.0	96040008.0	102282121.0	3004170611.0	74.0	1.0	96040008.0	102640929.0	2993588646.0	60.0	1.0	96040008.0	104835251.0	2927799466.0	41.0	0.8	110901059.0	118783549.0	2461996871.0	24.0	0.5	134572874.0	148865209.0	1425302132.0	10.0	1.0	101420457.0	106861904.0	2946272720.0	239.0	1.0	103338834.0	107015334.0	2942046090.0	157.0	1.0	103338834.0	107519227.0	2928224848.0	92.0	1.0	103338834.0	107994636.0	2915240225.0	75.0	0.9	103338834.0	112462001.0	2794399506.0	36.0	0.8	126990963.0	126822159.0	2360151067.0	21.0	0.6	140254629.0	146278313.0	1674226465.0	12.0
HG00096	32	3	1.0	95820490.0	90915007.0	2942049648.0	257.0	1.0	95820490.0	91070967.0	2937008436.0	124.0	1.0	95820490.0	91367103.0	2927462539.0	79.0	1.0	95820490.0	91539237.0	2921913957.0	71.0	0.9	95820490.0	94547931.0	2824145203.0	42.0	0.8	110175619.0	107960678.0	2320185174.0	24.0	0.5	133729032.0	130490344.0	1402848088.0	11.0	1.0	89604309.0	98734075.0	3001432039.0	148.0	1.0	89604309.0	98807431.0	2999202310.0	104.0	1.0	89604309.0	99019069.0	2992774697.0	74.0	1.0	89604309.0	99184533.0	2987743760.0	67.0	1.0	91791012.0	101508168.0	2916862682.0	41.0	0.9	97302326.0	111145483.0	2581099096.0	27.0	0.4	133661568.0	147901057.0	1272723081.0	9.0
HG01596	33	2	1.0	86812369.0	84941461.0	2972756865.0	294.0	1.0	86812369.0	85091661.0	2967506071.0	169.0	1.0	86812369.0	85473039.0	2954226566.0	102.0	1.0	88881377.0	85909750.0	2939065069.0	83.0	0.9	88881377.0	89156687.0	2826980813.0	42.0	0.8	91952456.0	98409076.0	2427754773.0	27.0	0.4	134303063.0	125063367.0	1104653718.0	9.0	1.0	96123332.0	103137681.0	2994712781.0	183.0	1.0	96123332.0	103264417.0	2991035333.0	100.0	1.0	96123332.0	103533091.0	2983251844.0	67.0	1.0	96123332.0	103717811.0	2977896742.0	60.0	1.0	96123332.0	106058986.0	2908846543.0	42.0	0.8	110753945.0	122642310.0	2363353495.0	23.0	0.4	145845872.0	158280483.0	1335579415.0	9.0
NA24385	34	2	1.0	94961311.0	91604327.0	3021231954.0	249.0	1.0	94961311.0	91789646.0	3015128193.0	118.0	1.0	94961311.0	92134376.0	3003812664.0	68.0	1.0	94961311.0	92394424.0	2995289351.0	56.0	1.0	94961311.0	93492583.0	2958900826.0	42.0	0.8	101285732.0	106866958.0	2403651876.0	25.0	0.4	122059636.0	131420349.0	1268820147.0	10.0	1.0	101444055.0	95009740.0	2964955375.0	253.0	1.0	101444055.0	95197713.0	2959097547.0	120.0	1.0	101444055.0	95497544.0	2949781943.0	75.0	1.0	101444055.0	95680110.0	2944115495.0	66.0	1.0	101444055.0	98193129.0	2865501778.0	40.0	0.8	111688949.0	114172632.0	2282506024.0	22.0	0.5	131317202.0	130930165.0	1518554120.0	12.0
HG02818	36	1	1.0	35365581.0	46032343.0	3027889380.0	304.0	1.0	35365581.0	46098473.0	3023540698.0	202.0	1.0	35365581.0	46224826.0	3015230415.0	165.0	1.0	35365581.0	46375966.0	3005232616.0	152.0	0.9	40336727.0	50623595.0	2721959583.0	81.0	0.4	83292095.0	81458135.0	1160745379.0	15.0	0.1	102566634.0	103142048.0	309345484.0	3.0	1.0	34778338.0	40685578.0	3039190642.0	400.0	1.0	34778338.0	40764130.0	3033326369.0	263.0	1.0	34778338.0	40956019.0	3019018716.0	200.0	1.0	35067235.0	41151889.0	3004375805.0	180.0	0.9	37910616.0	46401599.0	2618710864.0	81.0	0.3	72763656.0	77369539.0	944500646.0	13.0	0.1	106668335.0	104553513.0	209017785.0	2.0
HG01352	39	1	1.0	97546861.0	94005603.0	3047711667.0	210.0	1.0	97546861.0	94145112.0	3043192822.0	103.0	1.0	97546861.0	94336016.0	3037016212.0	75.0	1.0	97546861.0	94601798.0	3028415048.0	63.0	1.0	97546861.0	96082321.0	2979640728.0	44.0	0.8	110872432.0	110743799.0	2416641010.0	25.0	0.5	126686315.0	135684379.0	1428639061.0	11.0	1.0	96393932.0	94958368.0	3030259403.0	197.0	1.0	96393932.0	95067610.0	3026775096.0	127.0	1.0	96393932.0	95438507.0	3014976892.0	74.0	1.0	96393932.0	95747521.0	3005164582.0	61.0	1.0	96393932.0	97183866.0	2959211791.0	42.0	0.8	100205839.0	109849769.0	2464329321.0	25.0	0.4	134912307.0	136157299.0	1332058697.0	10.0
HG02059	40	1	1.0	96713159.0	89576538.0	3022605228.0	226.0	1.0	96713159.0	89699278.0	3018466565.0	135.0	1.0	96713159.0	90097360.0	3005086057.0	79.0	1.0	96713159.0	90415344.0	2994424159.0	65.0	1.0	96713159.0	91775689.0	2948204722.0	48.0	0.7	106979114.0	114123256.0	2121322760.0	20.0	0.4	136136928.0	134153984.0	1170116451.0	9.0	1.0	99320272.0	98525436.0	3035079510.0	263.0	1.0	99320272.0	98682240.0	3030254084.0	159.0	1.0	99320272.0	99265027.0	3012413312.0	81.0	1.0	106076327.0	99713897.0	2998756005.0	61.0	1.0	106076327.0	101706819.0	2937651075.0	41.0	0.8	111582376.0	112982141.0	2533229958.0	26.0	0.5	136576216.0	141409216.0	1501004607.0	11.0
NA19434	41	1	1.0	73209827.0	75230425.0	3031736324.0	174.0	1.0	73209827.0	75286805.0	3029464210.0	126.0	1.0	73209827.0	75418750.0	3024146668.0	101.0	1.0	73209827.0	75564979.0	3018234447.0	93.0	1.0	74125906.0	77971981.0	2919799089.0	60.0	0.7	100289073.0	98664629.0	2075182527.0	23.0	0.4	111697963.0	121519544.0	1069193424.0	9.0	1.0	74167890.0	70771207.0	3022702685.0	154.0	1.0	74167890.0	70808561.0	3021106837.0	119.0	1.0	74167890.0	70875990.0	3018220819.0	106.0	1.0	74167890.0	70989405.0	3013355540.0	98.0	1.0	82849167.0	73902708.0	2885198901.0	62.0	0.6	94014755.0	99243386.0	1841561536.0	20.0	0.3	113682818.0	122599803.0	840376548.0	7.0
HG04217	42	1	1.0	70922282.0	73171082.0	3025143870.0	202.0	1.0	70922282.0	73228798.0	3022757743.0	148.0	1.0	70922282.0	73475119.0	3012586456.0	100.0	1.0	70922282.0	73663318.0	3004805879.0	90.0	1.0	71877445.0	76824865.0	2871352230.0	54.0	0.7	92615748.0	94735166.0	2043689433.0	24.0	0.3	114189204.0	122828638.0	960154832.0	8.0	1.0	87253781.0	81901298.0	3025318050.0	170.0	1.0	87253781.0	81957776.0	3023231932.0	120.0	1.0	87253781.0	82096955.0	3018090892.0	95.0	1.0	87253781.0	82285413.0	3011110291.0	86.0	1.0	87637696.0	86305510.0	2861094221.0	51.0	0.7	98948909.0	103877424.0	2185497827.0	23.0	0.3	125992929.0	130375357.0	1015462059.0	8.0
HG03807	43	1	1.0	66342276.0	75732249.0	3023379764.0	189.0	1.0	66342276.0	75810055.0	3020274440.0	120.0	1.0	66342276.0	76011019.0	3012257299.0	89.0	1.0	66342276.0	76091199.0	3009055230.0	84.0	1.0	68467771.0	78993566.0	2889970851.0	56.0	0.7	92087558.0	99432705.0	2009017155.0	23.0	0.3	133901898.0	137393877.0	795713924.0	6.0	1.0	59903481.0	64599890.0	3017618973.0	216.0	1.0	59903481.0	64673172.0	3014196561.0	145.0	1.0	59903481.0	64845478.0	3006152419.0	112.0	1.0	59903481.0	65122180.0	2993230885.0	94.0	1.0	60055123.0	67723323.0	2870627628.0	57.0	0.7	72683826.0	81466457.0	2087907800.0	28.0	0.2	113139271.0	115858261.0	574384046.0	5.0
NA19836	44	1	1.0	33456632.0	41272337.0	3038696160.0	343.0	1.0	33456632.0	41345530.0	3033310006.0	207.0	1.0	33456632.0	41459014.0	3024953692.0	167.0	1.0	33456632.0	41562697.0	3017286353.0	155.0	0.9	38442556.0	45374022.0	2726684744.0	83.0	0.4	62242835.0	69844281.0	1136935236.0	17.0	0.0	0.0	0.0	0.0	0.0	1.0	38441276.0	41915818.0	3028921429.0	304.0	1.0	38441276.0	41984472.0	3023961984.0	193.0	1.0	38441276.0	42094623.0	3016004436.0	153.0	1.0	38441276.0	42162132.0	3011090871.0	146.0	0.9	40470733.0	45869115.0	2730576447.0	84.0	0.4	64556954.0	71109673.0	1081786543.0	16.0	0.0	0.0	0.0	0.0	0.0
HG02106	45	1	1.0	52821370.0	62127775.0	3029155611.0	278.0	1.0	52821370.0	62210331.0	3025132022.0	190.0	1.0	52821370.0	62536125.0	3009295573.0	125.0	1.0	52821370.0	62752634.0	2998790088.0	110.0	0.9	58299145.0	66831093.0	2798503520.0	63.0	0.5	89159593.0	91674949.0	1639914156.0	20.0	0.2	102257343.0	130014884.0	483097079.0	4.0	1.0	51314040.0	54663852.0	3032654742.0	276.0	1.0	51314040.0	54734009.0	3028763244.0	193.0	1.0	51314040.0	54963683.0	3016041268.0	138.0	1.0	51314040.0	55161955.0	3005050287.0	123.0	0.9	58882523.0	58974949.0	2790775176.0	68.0	0.5	80879278.0	81905945.0	1528214202.0	20.0	0.1	140116335.0	125019012.0	244958532.0	2.0
HG00268	46	1	1.0	45153663.0	63409446.0	3027665093.0	236.0	1.0	45153663.0	63474965.0	3024537080.0	166.0	1.0	45153663.0	63655128.0	3015941979.0	125.0	1.0	45153663.0	63849577.0	3006649126.0	112.0	0.9	46626375.0	67605182.0	2823693978.0	68.0	0.4	87894115.0	106577324.0	1333207043.0	14.0	0.2	146391373.0	143944047.0	553239741.0	4.0	1.0	54636463.0	59496510.0	3022867068.0	261.0	1.0	54636463.0	59575661.0	3018847286.0	167.0	1.0	54636463.0	59721209.0	3011460251.0	130.0	1.0	54636463.0	59963408.0	2999134863.0	114.0	0.9	58758439.0	64102711.0	2786511864.0	68.0	0.5	85695647.0	88893848.0	1634507658.0	20.0	0.2	106517540.0	117232136.0	574476852.0	5.0
NA20355	47	1	1.0	97559383.0	88255069.0	3038955850.0	209.0	1.0	97559383.0	88371973.0	3034932933.0	124.0	1.0	97559383.0	88638382.0	3025782208.0	84.0	1.0	97559383.0	88927202.0	3015865920.0	71.0	1.0	98896750.0	91624982.0	2920842153.0	48.0	0.7	107720163.0	110333380.0	2223575763.0	22.0	0.5	134545146.0	128863804.0	1387604043.0	11.0	1.0	73621979.0	79026049.0	3030758650.0	241.0	1.0	73621979.0	79150558.0	3025987993.0	128.0	1.0	73621979.0	79320108.0	3019498746.0	96.0	1.0	73621979.0	79527295.0	3011557749.0	85.0	1.0	73646085.0	83517277.0	2856019887.0	48.0	0.8	91224500.0	96677002.0	2286947634.0	27.0	0.3	126035632.0	129917423.0	1002323379.0	8.0
NA19129	49	1	1.0	92923480.0	87130124.0	3036240366.0	248.0	1.0	92923480.0	87264237.0	3031571261.0	141.0	1.0	92923480.0	87568437.0	3021005750.0	93.0	1.0	92923480.0	87684831.0	3016962997.0	87.0	1.0	92923480.0	91291121.0	2890919214.0	52.0	0.7	117169933.0	114049451.0	2109049487.0	21.0	0.4	135154630.0	137000915.0	1340275895.0	10.0	1.0	80730944.0	80504135.0	3024321859.0	172.0	1.0	80730944.0	80572293.0	3021761757.0	117.0	1.0	80730944.0	80720405.0	3016197020.0	93.0	1.0	80730944.0	80838020.0	3011766770.0	87.0	0.9	86139546.0	85372249.0	2840270674.0	48.0	0.7	96347802.0	101403312.0	2174572469.0	24.0	0.3	134698391.0	131173458.0	1034184035.0	8.0
HG02769	50	1	1.0	63158455.0	65370113.0	3037158748.0	275.0	1.0	63158455.0	65473394.0	3032363471.0	171.0	1.0	63158455.0	65657323.0	3023839015.0	128.0	1.0	63158455.0	65888722.0	3013096465.0	113.0	0.9	66096642.0	70190260.0	2812752738.0	60.0	0.6	85620782.0	90168274.0	1872466731.0	23.0	0.2	127103689.0	125925957.0	619169770.0	5.0	1.0	59094532.0	63393351.0	3042344474.0	241.0	1.0	59094532.0	63484753.0	3037960325.0	148.0	1.0	59094532.0	63630464.0	3030974267.0	115.0	1.0	59094532.0	63843159.0	3020746934.0	102.0	1.0	61386459.0	67211850.0	2855222327.0	61.0	0.6	85388601.0	88657858.0	1784272929.0	22.0	0.2	112227748.0	120211456.0	591398321.0	5.0
HG03452	51	1	1.0	52006244.0	57159094.0	3038739132.0	295.0	1.0	52006244.0	57238515.0	3034518656.0	198.0	1.0	52017994.0	57485170.0	3021429370.0	147.0	1.0	52017994.0	57788961.0	3005333823.0	125.0	0.9	54926763.0	61865075.0	2789068838.0	67.0	0.5	81977658.0	84758269.0	1615729174.0	21.0	0.2	130418273.0	121441516.0	481047355.0	4.0	1.0	57955658.0	70946521.0	3035595310.0	298.0	1.0	57955658.0	71075634.0	3030076548.0	174.0	1.0	57955658.0	71323680.0	3019496904.0	126.0	1.0	57955658.0	71669809.0	3004763638.0	105.0	0.9	65848350.0	75575262.0	2837919136.0	57.0	0.6	100059024.0	97823448.0	1888669192.0	22.0	0.3	111128386.0	125783482.0	966744060.0	8.0
HG03520	52	1	1.0	86906939.0	77680066.0	3032814168.0	314.0	1.0	86906939.0	77860203.0	3025792304.0	157.0	1.0	86906939.0	78123150.0	3015575393.0	105.0	1.0	88770029.0	78336319.0	3007294501.0	93.0	1.0	88770029.0	81409165.0	2888096463.0	49.0	0.7	100215905.0	100298780.0	2055625302.0	22.0	0.3	111247497.0	119253303.0	1049591300.0	9.0	1.0	65276522.0	67477950.0	3019334130.0	279.0	1.0	65276522.0	67605841.0	3013617547.0	157.0	1.0	65276522.0	67879442.0	3001420076.0	102.0	1.0	65276522.0	68155564.0	2989131479.0	84.0	1.0	65303618.0	70845148.0	2865521090.0	55.0	0.7	88857905.0	86925442.0	2002581366.0	25.0	0.2	110869288.0	118725558.0	583927676.0	5.0
HG02282	53	1	1.0	34682852.0	41466501.0	3046043064.0	416.0	1.0	35875104.0	41574091.0	3038150082.0	232.0	1.0	35875104.0	41710272.0	3028167295.0	186.0	1.0	35875104.0	41833376.0	3019100571.0	173.0	0.9	39831306.0	46068698.0	2705743567.0	88.0	0.3	82676220.0	80624907.0	888347295.0	12.0	0.0	121596156.0	121596156.0	121596156.0	1.0	1.0	38453367.0	43675890.0	3047926980.0	362.0	1.0	38453367.0	43750028.0	3042755681.0	239.0	1.0	38453367.0	43935459.0	3029828072.0	185.0	1.0	40015904.0	44121753.0	3016822710.0	166.0	0.9	41069091.0	48429284.0	2715407595.0	83.0	0.4	74168465.0	77232451.0	1083602648.0	15.0	0.1	109518893.0	107744244.0	215428001.0	2.0
HG02554	54	1	1.0	76308967.0	79820902.0	2972406954.0	322.0	1.0	76308967.0	79999424.0	2965769404.0	168.0	1.0	83451272.0	80381214.0	2951634440.0	105.0	1.0	83451272.0	80701889.0	2939794210.0	89.0	0.9	83451272.0	84216353.0	2810235066.0	50.0	0.7	100004589.0	104457329.0	2019351924.0	22.0	0.3	134874711.0	133262557.0	1028096866.0	8.0	1.0	92729027.0	79591140.0	3029585235.0	187.0	1.0	92729027.0	79674010.0	3026431843.0	121.0	1.0	92729027.0	79859279.0	3019390957.0	84.0	1.0	92729027.0	80043023.0	3012389592.0	75.0	1.0	92729027.0	82589232.0	2913402994.0	48.0	0.7	99575560.0	97661255.0	2226298069.0	25.0	0.4	111622612.0	119835897.0	1066232911.0	9.0
HG02953	55	1	1.1	112030972.0	120251274.0	3331896069.0	199.0	1.1	112030972.0	120383675.0	3328229944.0	106.0	1.1	112030972.0	120631451.0	3321380119.0	71.0	1.1	112030972.0	120759692.0	3317831754.0	66.0	1.1	134840379.0	125055885.0	3198265211.0	37.0	0.9	135401330.0	136722492.0	2838985965.0	24.0	0.7	146615365.0	157837309.0	2072719570.0	14.0	1.2	111168323.0	112770438.0	3503326853.0	119.0	1.2	111168323.0	112779073.0	3503058440.0	115.0	1.2	111168323.0	112850273.0	3500843553.0	104.0	1.2	111168323.0	112916841.0	3498766677.0	101.0	1.1	128848583.0	121302912.0	3244281072.0	44.0	0.9	134311389.0	137442058.0	2764174476.0	23.0	0.7	146293476.0	159688881.0	1957871249.0	13.0
NA21487	56	1	1.0	85576365.0	79126100.0	3041466331.0	287.0	1.0	85576365.0	79304343.0	3034625766.0	122.0	1.0	85576365.0	79514850.0	3026560512.0	89.0	1.0	85576365.0	79688140.0	3019915674.0	80.0	1.0	86294540.0	82420112.0	2912861282.0	52.0	0.7	98279888.0	102729309.0	2035083043.0	22.0	0.3	133322371.0	129039439.0	1009612492.0	8.0	1.0	84739610.0	82821056.0	3055588659.0	296.0	1.0	84739610.0	83027908.0	3047971084.0	129.0	1.0	84739610.0	83244686.0	3040005953.0	94.0	1.0	84739610.0	83508610.0	3030308953.0	81.0	1.0	87125843.0	87152472.0	2895359855.0	46.0	0.7	93543550.0	103130958.0	2227406235.0	24.0	0.3	125797371.0	133194937.0	1035130675.0	8.0
NA18989	57	1	1.1	100571455.0	106231223.0	3268523319.0	200.0	1.1	100571455.0	106353487.0	3264763918.0	111.0	1.1	100571455.0	106547405.0	3258804858.0	85.0	1.1	100571455.0	106695559.0	3254250258.0	78.0	1.0	101524333.0	111865307.0	3095640627.0	42.0	0.9	105474016.0	125927842.0	2618548123.0	25.0	0.6	134223646.0	153928064.0	1686695532.0	12.0	1.1	97456838.0	97272340.0	3253592868.0	104.0	1.1	97456838.0	97279625.0	3253349066.0	99.0	1.1	97456838.0	97362840.0	3250558761.0	89.0	1.1	97456838.0	97390268.0	3249634529.0	88.0	1.0	100570978.0	101178743.0	3122418636.0	50.0	0.9	105022388.0	116058781.0	2583992857.0	27.0	0.5	132295153.0	144735933.0	1596727739.0	12.0
NA19331	58	1	1.0	41984953.0	46482233.0	2965888423.0	321.0	1.0	41984953.0	46548240.0	2961677614.0	223.0	1.0	46154143.0	46759361.0	2948221743.0	164.0	1.0	46154143.0	47046699.0	2929920126.0	139.0	0.9	51518662.0	50856039.0	2685365866.0	73.0	0.5	68299279.0	72217545.0	1380423033.0	20.0	0.0	103867980.0	103867980.0	103867980.0	1.0	1.0	40297571.0	43424153.0	3009545968.0	240.0	1.0	40297571.0	43455451.0	3007375633.0	192.0	1.0	40297571.0	43575653.0	2999029011.0	154.0	1.0	40297571.0	43713241.0	2989433553.0	140.0	0.9	43455944.0	46954444.0	2754935801.0	81.0	0.3	68309045.0	73228861.0	1036282635.0	15.0	0.0	0.0	0.0	0.0	0.0
HG02666	59	1	1.0	99688108.0	99813742.0	2984408847.0	333.0	1.0	99688108.0	100044954.0	2977508113.0	152.0	1.0	99688108.0	100484454.0	2964446384.0	98.0	1.0	101053197.0	100931686.0	2951219767.0	78.0	0.9	101053197.0	105605122.0	2814453000.0	39.0	0.8	109227725.0	118019009.0	2393957407.0	24.0	0.5	134540069.0	145584186.0	1479873221.0	11.0	1.0	92094920.0	95547096.0	3002986910.0	163.0	1.0	92094920.0	95631425.0	3000337354.0	101.0	1.0	92094920.0	95830115.0	2994099646.0	71.0	1.0	92094920.0	95885261.0	2992367026.0	68.0	1.0	92907137.0	99901808.0	2863168063.0	42.0	0.7	123626801.0	117519804.0	2247248306.0	22.0	0.5	136977108.0	143685551.0	1392605640.0	10.0
NA19317	60	1	1.0	104841140.0	113747900.0	2953886798.0	177.0	1.0	104841140.0	113878348.0	2950501584.0	97.0	1.0	104841140.0	114096071.0	2944859824.0	67.0	1.0	104841140.0	114183287.0	2942594941.0	64.0	0.9	104841140.0	118044512.0	2841988893.0	36.0	0.8	110898853.0	131228926.0	2456748296.0	22.0	0.5	137261133.0	158677475.0	1605136560.0	11.0	1.0	133815480.0	131983105.0	3022230902.0	126.0	1.0	133815480.0	132100027.0	3019554766.0	71.0	1.0	133815480.0	132398821.0	3012725806.0	41.0	1.0	133815480.0	132398821.0	3012725806.0	41.0	1.0	133815480.0	134246925.0	2969761946.0	29.0	0.9	135180844.0	145213575.0	2660672845.0	21.0	0.7	152943908.0	165006059.0	2035849082.0	13.0
NA19347	61	1	1.1	135271426.0	132174710.0	3440393906.0	117.0	1.1	135271426.0	132248644.0	3438469605.0	82.0	1.1	135271426.0	132474806.0	3432586926.0	56.0	1.1	135271426.0	132558934.0	3430396112.0	53.0	1.1	135271426.0	134939450.0	3367702905.0	37.0	1.0	139188826.0	148946557.0	2944812252.0	23.0	0.7	154820600.0	170538812.0	2233062846.0	14.0	1.2	134855035.0	135020366.0	3454201580.0	63.0	1.2	134855035.0	135029183.0	3453975925.0	59.0	1.2	134855035.0	135065974.0	3453032841.0	56.0	1.2	134855035.0	135154507.0	3450758119.0	53.0	1.1	134855035.0	137945071.0	3378209213.0	36.0	1.0	140576869.0	151108107.0	3000578315.0	23.0	0.8	160721072.0	172916975.0	2285126540.0	14.0
HG03248	62	1	1.0	97225213.0	117399356.0	2975547767.0	224.0	1.0	97225213.0	117527980.0	2972289852.0	144.0	1.0	111203773.0	118043814.0	2959267722.0	94.0	1.0	111203773.0	118442352.0	2949251592.0	79.0	0.9	111203773.0	123999683.0	2811886882.0	36.0	0.7	138073277.0	149978006.0	2152090798.0	17.0	0.5	139508581.0	178887441.0	1484864272.0	9.0	1.0	98269464.0	97098926.0	3001510389.0	148.0	1.0	98269464.0	97186338.0	2998809142.0	87.0	1.0	98269464.0	97393827.0	2992402311.0	59.0	1.0	98269464.0	97547039.0	2987662961.0	53.0	1.0	98269464.0	99012986.0	2941180308.0	39.0	0.9	109928054.0	107717912.0	2594813460.0	27.0	0.5	134207466.0	132415958.0	1439872082.0	11.0
HG04036	63	1	1.0	91495952.0	92425497.0	3027640142.0	259.0	1.0	91495952.0	92593793.0	3022133573.0	142.0	1.0	91495952.0	92924975.0	3011331378.0	92.0	1.0	91495952.0	93175703.0	3003165947.0	80.0	1.0	93310412.0	97255515.0	2869562715.0	47.0	0.7	118407500.0	121064115.0	2089187694.0	20.0	0.4	140822446.0	149132467.0	1277369281.0	9.0	1.0	88901926.0	84705799.0	3040687678.0	328.0	1.0	88901926.0	84943183.0	3032184535.0	147.0	1.0	88901926.0	85234233.0	3021798715.0	97.0	1.0	88901926.0	85512744.0	3011865710.0	84.0	1.0	92495047.0	88832898.0	2892157548.0	49.0	0.7	110371556.0	109287458.0	2114629754.0	22.0	0.4	134337119.0	135936636.0	1170838912.0	9.0
HG01457	64	1	1.0	86490011.0	95510844.0	3016671218.0	192.0	1.0	86490011.0	95652886.0	3012188719.0	99.0	1.0	86490011.0	95868523.0	3005393869.0	67.0	1.0	86490011.0	95969685.0	3002197591.0	63.0	1.0	92148167.0	97939222.0	2938501427.0	46.0	0.7	132871719.0	122286315.0	2129058817.0	20.0	0.4	150593865.0	154992285.0	1205556393.0	8.0	1.0	90109158.0	86754464.0	2945577222.0	182.0	1.0	93583785.0	86843675.0	2942549231.0	118.0	1.0	93583785.0	87074232.0	2934734192.0	82.0	1.0	93583785.0	87198312.0	2930516794.0	77.0	0.9	93583785.0	90264186.0	2825588425.0	46.0	0.7	111122613.0	106639296.0	2219032458.0	23.0	0.4	128448922.0	129741266.0	1278311639.0	10.0
NA19384	65	1	1.0	108418710.0	115387021.0	2958558394.0	237.0	1.0	108418710.0	115591610.0	2953319397.0	121.0	1.0	108418710.0	115981807.0	2943364244.0	69.0	1.0	108418710.0	116154838.0	2938950358.0	63.0	1.0	111435938.0	119246524.0	2860052459.0	35.0	0.8	137792749.0	136653000.0	2348960703.0	20.0	0.5	147341315.0	164720665.0	1551681083.0	10.0	1.0	97469905.0	103987905.0	3027338174.0	168.0	1.0	97469905.0	104104348.0	3023950235.0	91.0	1.0	97469905.0	104359572.0	3016537014.0	56.0	1.0	97469905.0	104478365.0	3013088173.0	50.0	1.0	107265587.0	106097051.0	2965280542.0	35.0	0.9	111116455.0	113950402.0	2651159121.0	26.0	0.5	140478142.0	139772587.0	1497322777.0	11.0
HG01890	66	2	1.2	133695336.0	122240957.0	3490715591.0	168.0	1.2	133695336.0	122345892.0	3487720387.0	93.0	1.2	133695336.0	122546464.0	3482000537.0	65.0	1.2	133695336.0	122648671.0	3479081237.0	61.0	1.1	135252334.0	125971774.0	3382553287.0	42.0	1.0	137213846.0	137411037.0	3029288644.0	26.0	0.6	160623852.0	168839068.0	1943966272.0	12.0	1.2	133482535.0	120046934.0	3462719100.0	88.0	1.2	133482535.0	120063320.0	3462246190.0	82.0	1.2	133482535.0	120111911.0	3460843202.0	74.0	1.2	133482535.0	120184646.0	3458736103.0	71.0	1.1	135131559.0	125416796.0	3306036316.0	41.0	1.0	135136690.0	135536239.0	2997423169.0	26.0	0.7	146213340.0	162992526.0	2014046960.0	13.0
NA19705	67	2	1.0	132441832.0	112016116.0	2962155159.0	190.0	1.0	132441832.0	112149057.0	2958642012.0	117.0	1.0	132441832.0	112484125.0	2949808623.0	74.0	1.0	132441832.0	112720481.0	2943582730.0	65.0	0.9	132441832.0	117518656.0	2817930028.0	31.0	0.9	134791099.0	124871399.0	2598197292.0	23.0	0.5	146451523.0	149245819.0	1614460040.0	11.0	1.0	100950442.0	100357844.0	3005633162.0	143.0	1.0	100950442.0	100449269.0	3002896089.0	82.0	1.0	100950442.0	100657083.0	2996677366.0	56.0	1.0	100950442.0	100685637.0	2995820214.0	55.0	1.0	106165205.0	103082974.0	2922163337.0	36.0	0.9	111260820.0	111527303.0	2595334279.0	26.0	0.5	134059200.0	134145008.0	1568111580.0	12.0
HG03456	68	2	1.0	92104009.0	86116891.0	2951090750.0	218.0	1.0	92104009.0	86213978.0	2947765438.0	128.0	1.0	92104009.0	86426650.0	2940491258.0	92.0	1.0	92104009.0	86851872.0	2925968888.0	72.0	0.9	94789535.0	89520008.0	2833904519.0	44.0	0.7	102047690.0	106819735.0	2146941156.0	22.0	0.4	133762260.0	129244874.0	1145976131.0	9.0	1.0	89907386.0	79930791.0	3041587733.0	243.0	1.0	89907386.0	80058923.0	3036716323.0	132.0	1.0	89907386.0	80307544.0	3027285626.0	83.0	1.0	89907386.0	80431013.0	3022599090.0	76.0	1.0	92106520.0	83181901.0	2916109214.0	46.0	0.7	97041411.0	98082697.0	2201171729.0	24.0	0.3	108578614.0	116996761.0	1029963384.0	9.0
